Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-K9L*,517642,6.14555251E-01,1.45987884E-02,6.56775017E-01,2.87769588E-03,1.02699346E+00,1.07653051E+02,,,,,,,76,MA,7 ,H-K9L*,,,,,,,,,,,,,,,,,,,,,
H-K9L,517642,6.14555251E-01,1.45987884E-02,6.56775017E-01,2.87769588E-03,1.02699346E+00,1.07653051E+02,,,,,,,76,MA,10 ,H-K9L,,,,,,,,,,,,,,,,,,,,,
H-K9LA,517642,6.84743072E-01,3.13539741E-03,5.86772376E-01,1.48101330E-02,1.14804248E+00,1.16583792E+02,,,,,,,72,MA,10 ,H-K9LA,,,,,,,,,,,,,,,,,,,,,
H-BaK7,569560,6.59469741E-01,7.66009635E-04,7.62196700E-01,1.77403402E-02,1.19935835E+00,1.29975103E+02,,,,,,,72,MA,10 ,H-BaK7,,,,,,,,,,,,,,,,,,,,,
H-ZK11,639555,5.34615460E-02,4.56429986E-02,1.58378230E+00,9.12260162E-03,9.18196297E-01,8.93234474E+01,,,,,,,69,MA,10 ,H-ZK11,,,,,,,,,,,,,,,,,,,,,
H-ZK7A,613604,9.38065696E-01,4.38468072E-03,6.23491935E-01,1.69391481E-02,1.00587058E+00,9.32750706E+01,,,,,,,62,A,10 ,H-ZK7A,,,,,,,,,,,,,,,,,,,,,
H-ZK9B,620603,8.74918734E-01,3.73965378E-03,7.09627300E-01,1.63972089E-02,1.09453882E+00,1.00204324E+02,,,,,,,62,MA,10 ,H-ZK9B,,,,,,,,,,,,,,,,,,,,,
H-ZK3A,589613,9.64352845E-01,9.48895042E+01,7.74899660E-01,1.49854130E-02,7.12663198E-01,2.94423381E-03,,,,,,,55,MA,10 ,H-ZK3A,,,,,,,,,,,,,,,,,,,,,
H-ZK3,589613,8.55678320E-01,4.41734284E-03,8.97778708E-01,8.96045798E+01,6.31730586E-01,1.58041790E-02,,,,,,,52,MA,11 ,H-ZK3,,,,,,,,,,,,,,,,,,,,,
H-F4,620364,1.31898794E-01,5.79319500E-02,1.42441827E+00,1.06270032E-02,1.21746316E+00,1.17376535E+02,,,,,,,76,MA,13 ,H-F4,,,,,,,,,,,,,,,,,,,,,
H-ZK7,613606,,,,,,,2.56229558E+00,-1.08844706E-02,1.40997791E-02,3.79257039E-04,-2.41612681E-05,1.41616214E-06,61,D,13 ,H-ZK7,,,,,,,,,,,,,,,,,,,,,
H-BaK7A,569561,,,,,,,2.42067444E+00,-9.07062595E-03,1.48479874E-02,-1.63554726E-05,3.76515875E-05,-1.56033963E-06,60,D,13 ,H-BaK7A,,,,,,,,,,,,,,,,,,,,,
F4,620364,,,,,,,2.55446670E+00,-8.47847799E-03,2.32832892E-02,5.83809482E-04,2.19630010E-05,1.96537708E-06,91,D,14 ,F4,,,,,,,,,,,,,,,,,,,,,
ZF1,648338,,,,,,,2.63561610E+00,-8.83964200E-03,2.56447810E-02,9.65223740E-04,-1.83047980E-05,5.55635170E-06,89,D,16 ,ZF1,,,,,,,,,,,,,,,,,,,,,
H-ZF1A,648339,1.57527094E-01,5.85466694E-02,1.47922850E+00,1.11805229E-02,1.18166385E+00,1.15153843E+02,,,,,,,85,MA,16 ,H-ZF1A,,,,,,,,,,,,,,,,,,,,,
H-ZF2,673322,1.67643380E-01,6.05177711E-02,1.54335076E+00,1.18524273E-02,1.17313123E+00,1.13671100E+02,,,,,,,85,MA,16 ,H-ZF2,,,,,,,,,,,,,,,,,,,,,
ZF2,673322,,,,,,,2.70820441E+00,-7.94171159E-03,2.92224783E-02,8.84931615E-04,6.68620560E-07,5.65902766E-06,85,D,16 ,ZF2,,,,,,,,,,,,,,,,,,,,,
H-K51,523586,9.60161808E-01,1.16242480E+02,1.18368963E+00,1.18029997E-02,1.02338243E-01,-1.89575777E-02,,,,,,,80,MA,16 ,H-K51,,,,,,,,,,,,,,,,,,,,,
ZF6,755275,,,,,,,2.96285995E+00,-1.04077823E-02,3.56441238E-02,2.45699205E-03,-1.49615893E-04,1.77827751E-05,80,MA,17 ,ZF6,,,,,,,,,,,,,,,,,,,,,
H-ZK9A,620603,,,,,,,2.58407802E+00,-1.11281379E-02,1.54281597E-02,2.64033929E-05,2.77466467E-05,-1.24493904E-06,60,D,17 ,H-ZK9A,,,,,,,,,,,,,,,,,,,,,
H-ZK21,623581,8.94248925E-01,3.84521718E-03,6.96413489E-01,1.74130132E-02,1.07122355E+00,1.02205952E+02,,,,,,,62,MA,18 ,H-ZK21,,,,,,,,,,,,,,,,,,,,,
